State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,county-a,county-b,flow-from-b-to-a,flow-from-a-to-b,net-flow-from-b-to-a,gross-migration
6,19,6,69,Fresno County,San Benito County,36,56,-20,92
6,19,6,71,Fresno County,San Bernardino County,708,643,65,"1,351"
6,19,6,73,Fresno County,San Diego County,692,550,142,"1,242"
6,19,6,75,Fresno County,San Francisco County,95,139,-44,234
6,19,6,77,Fresno County,San Joaquin County,618,510,108,"1,128"
6,19,6,79,Fresno County,San Luis Obispo County,454,836,-382,"1,290"
6,19,6,81,Fresno County,San Mateo County,268,227,41,495
6,19,6,83,Fresno County,Santa Barbara County,209,229,-20,438
6,19,6,85,Fresno County,Santa Clara County,926,667,259,"1,593"
6,19,6,87,Fresno County,Santa Cruz County,188,216,-28,404
6,19,6,89,Fresno County,Shasta County,55,75,-20,130
6,19,6,91,Fresno County,Sierra County,0,2,-2,2
6,19,6,93,Fresno County,Siskiyou County,109,4,105,113
6,19,6,95,Fresno County,Solano County,124,191,-67,315
6,19,6,97,Fresno County,Sonoma County,70,135,-65,205
6,19,6,99,Fresno County,Stanislaus County,489,434,55,923
6,19,6,101,Fresno County,Sutter County,18,10,8,28
6,19,6,103,Fresno County,Tehama County,70,59,11,129
6,19,6,107,Fresno County,Tulare County,"2,346","2,118",228,"4,464"
6,19,6,109,Fresno County,Tuolumne County,75,147,-72,222
6,19,6,111,Fresno County,Ventura County,106,289,-183,395
6,19,6,113,Fresno County,Yolo County,66,148,-82,214
6,19,6,115,Fresno County,Yuba County,3,2,1,5
6,21,6,1,Glenn County,Alameda County,3,0,3,3
6,21,6,7,Glenn County,Butte County,255,527,-272,782
6,21,6,11,Glenn County,Colusa County,119,26,93,145
6,21,6,13,Glenn County,Contra Costa County,15,0,15,15
6,21,6,15,Glenn County,Del Norte County,21,0,21,21
6,21,6,19,Glenn County,Fresno County,34,43,-9,77
6,21,6,23,Glenn County,Humboldt County,0,66,-66,66
6,21,6,29,Glenn County,Kern County,11,0,11,11
6,21,6,31,Glenn County,Kings County,4,0,4,4
6,21,6,33,Glenn County,Lake County,2,7,-5,9
6,21,6,35,Glenn County,Lassen County,18,0,18,18
6,21,6,37,Glenn County,Los Angeles County,33,11,22,44
6,21,6,45,Glenn County,Mendocino County,0,6,-6,6
6,21,6,47,Glenn County,Merced County,11,7,4,18
6,21,6,59,Glenn County,Orange County,0,11,-11,11
6,21,6,61,Glenn County,Placer County,0,28,-28,28
6,21,6,63,Glenn County,Plumas County,33,0,33,33
6,21,6,65,Glenn County,Riverside County,12,0,12,12
6,21,6,67,Glenn County,Sacramento County,59,71,-12,130
6,21,6,71,Glenn County,San Bernardino County,109,0,109,109
6,21,6,73,Glenn County,San Diego County,9,22,-13,31
6,21,6,75,Glenn County,San Francisco County,0,11,-11,11
6,21,6,77,Glenn County,San Joaquin County,0,10,-10,10
6,21,6,79,Glenn County,San Luis Obispo County,3,0,3,3
6,21,6,81,Glenn County,San Mateo County,4,0,4,4
6,21,6,83,Glenn County,Santa Barbara County,14,11,3,25
6,21,6,85,Glenn County,Santa Clara County,3,35,-32,38
6,21,6,89,Glenn County,Shasta County,0,18,-18,18
6,21,6,93,Glenn County,Siskiyou County,0,1,-1,1
6,21,6,95,Glenn County,Solano County,6,0,6,6
6,21,6,97,Glenn County,Sonoma County,15,0,15,15
6,21,6,101,Glenn County,Sutter County,0,81,-81,81
6,21,6,103,Glenn County,Tehama County,99,535,-436,634
6,21,6,107,Glenn County,Tulare County,5,0,5,5
6,21,6,109,Glenn County,Tuolumne County,0,5,-5,5
