,Competition Name,URL,State,Date,Type,City,Facility,Street Address,ZIP,Lat,Lon
356,Pittsburgh Chapter Competition ,https://www.mathcounts.org/pittsburgh-chapter-competition,PA,02/08/2020,Chapter,Allison Park,AW Beattie Career Center,9600 Babcock Blvd,15101,40.5791787,-80.0057801
357,Reading Chapter Competition ,https://www.mathcounts.org/reading-chapter-competition,PA,02/08/2020,Chapter,Reading,Penn State University - Berks,1801 Broadcasting Rd.,19610,40.359947,-75.97614899999999
358,Susquehanna Chapter Competition ,https://www.mathcounts.org/susquehanna-chapter-competition,PA,02/08/2020,Chapter,Montoursville,C.E. McCall Middle School,600 Willow St.,17754,41.2554558,-76.9052202
359,Valley Forge Chapter Competition ,https://www.mathcounts.org/valley-forge-chapter-competition,PA,02/08/2020,Chapter,Lansdale,Dock Mennonite Academy 9-12 Campus,1000 Forty Foot Road,19446,40.2552865,-75.3354367
360,Washington County Chapter Competition ,https://www.mathcounts.org/washington-county-chapter-competition-0,PA,02/08/2020,Chapter,Washington,Washington & Jefferson College,60 South Lincoln St.,15301,40.1706389,-80.24029689999999
361,Westmoreland County Chapter Competition ,https://www.mathcounts.org/westmoreland-county-chapter-competition,PA,02/15/2020,Chapter,Greensburg,Greensburg Salem Middle School,301 North Main St.,15601,40.3069952,-79.5453223
362,Metro East/West Chapter Competition ,https://www.mathcounts.org/metro-eastwest-chapter-competition,PR,02/22/2020,Chapter,San Juan,Polytechnic University of Puerto Rico,TBD,,,
363,West/South Chapter Competition ,https://www.mathcounts.org/westsouth-chapter-competition,PR,02/22/2020,Chapter,San Juan,Polytechnic University of Puerto Rico,,,,
364,Aiken Chapter Competition ,https://www.mathcounts.org/aiken-chapter-competition,SC,02/15/2020,Chapter,Graniteville,Aiken Technical College,2276 Jefferson Davis Highway,29829,33.534518,-81.842672
365,Catawba Chapter Competition ,https://www.mathcounts.org/catawba-chapter-competition,SC,02/11/2020,Chapter,Rock Hill,Westminster Presbyterian Church,1300 India Hook Rd,29732,34.953086,-81.030673
366,Charleston Chapter Competition ,https://www.mathcounts.org/charleston-chapter-competition,SC,02/07/2020,Chapter,Charleston,The Citadel,Beyer Auditorium,,,
367,Coastal/PeeDee Chapter Competition ,https://www.mathcounts.org/coastalpeedee-chapter-competition,SC,02/01/2020,Chapter,Conway,Coastal Carolina University,,,33.7965964,-79.01336119999999
368,Columbia Chapter Competition ,https://www.mathcounts.org/columbia-chapter-competition,SC,02/01/2020,Chapter,Columbia,Hammond School,854 Galway Lane,29209,33.9644783,-80.9649511
369,Piedmont Chapter Competition ,https://www.mathcounts.org/piedmont-chapter-competition,SC,02/08/2020,Chapter,Greenville,Dr. Phinnize J. Fisher Middle School,700 Millennium Blvd,29607,34.8165912,-82.3185503
370,Spartanburg Chapter Competition ,https://www.mathcounts.org/spartanburg-chapter-competition,SC,02/08/2020,Chapter,Greenville,Dr. Phinnize J. Fisher Middle School,700 Millennium Blvd,29607,34.8165912,-82.3185503
371,Black Hills Chapter Competition ,https://www.mathcounts.org/black-hills-chapter-competition,SD,02/22/2020,Chapter,Rapid City,"Classroom Building, South Dakota School of Mines and Technology",501 East St. Joseph Street,57702,44.0745488,-103.2069315
372,Northeastern SD Chapter Competition ,https://www.mathcounts.org/northeastern-sd-chapter-competition,SD,02/05/2020,Chapter,Aberdeen,Northern State University,1200 S Jay St.,57401,45.4510995,-98.4844923
373,Southeastern SD Chapter Competition ,https://www.mathcounts.org/southeastern-sd-chapter-competition,SD,02/20/2020,Chapter,Sioux Falls,Southeast Technical Institute,2320 N Career Ave,57107,43.5704512,-96.7794356
374,Chattanooga Chapter Competition ,https://www.mathcounts.org/chattanooga-chapter-competition,TN,02/08/2020,Chapter,Chattanooga,Chattanooga Girls Leadership Academy,1802 Bailey Avenue,37404,35.0336015,-85.2771635
375,Knoxville Chapter Competition ,https://www.mathcounts.org/knoxville-chapter-competition,TN,02/15/2020,Chapter,Knoxville,John D. Tickle Bldg. - UT Campus,room #405,,35.9557216,-83.9226734
376,Memphis Chapter Competition ,https://www.mathcounts.org/memphis-chapter-competition-0,TN,02/01/2020,Chapter,Memphis,Southwest Tennessee Community College,5983 Macon Cove,38134,35.161699,-89.8663729
377,Nashville Chapter Competition ,https://www.mathcounts.org/nashville-chapter-competition,TN,02/08/2020,Chapter,Nashville,Adventure Science Center,800 Fort Negley Boulevard,37203,36.1463355,-86.7756304
378,Tullahoma Chapter Competition ,https://www.mathcounts.org/tullahoma-chapter-competition-0,TN,02/01/2020,Chapter,Tullahoma,UT Space Institute,411 B.H. Goethert Pkwy,37388,35.3191227,-86.101309
379,Upper East TN Chapter Competition ,https://www.mathcounts.org/upper-east-tn-chapter-competition,TN,02/15/2020,Chapter,Kingsport,Regional Center for Advanced Manufacturing (RCAM),305 W Main St,37660,36.5468219,-82.5654982
380,Abilene Chapter Competition ,https://www.mathcounts.org/abilene-chapter-competition,TX,02/01/2020,Chapter,Abilene,Abilene Christian University,Physics & Engineering Bldg.,,32.469732,-99.70809799999999
381,Bay Area Chapter Competition ,https://www.mathcounts.org/bay-area-chapter-competition,TX,02/15/2020,Chapter,Houston,Space Center Houston,1601 E NASA Pkwy.,77058,29.5518461,-95.0982892
382,Bexar Chapter Competition ,https://www.mathcounts.org/bexar-chapter-competition,TX,02/08/2020,Chapter,San Antonio,St. Mary's University,One Camino Santa Maria,78228,29.4523378,-98.5640981
383,Brazos Chapter Competition ,https://www.mathcounts.org/brazos-chapter-competition,TX,02/01/2020,Chapter,College Station,Zachry Building Texas A & M Campus,125 Spence Street,77840,30.6210864,-96.34038819999999
384,Central TX Chapter Competition ,https://www.mathcounts.org/central-tx-chapter-competition,TX,02/08/2020,Chapter,Waco,Baylor University,Rogers Engineering and Computer Science Bldg.,,31.55034,-97.11711269999999
385,Dallas Chapter Competition ,https://www.mathcounts.org/dallas-chapter-competition,TX,02/08/2020,Chapter,Dallas,Hillcrest High School,9924 Hillcrest Road,75230,32.8829586,-96.78562409999999
386,DFW Mid-Cities Chapter Competition ,https://www.mathcounts.org/dfw-mid-cities-chapter-competition,TX,02/15/2020,Chapter,Arlington,"The University of Texas at Arlington College of Engineering, 634 Nedderman Hall",416 Yates Street,76019,32.732283,-97.113551
387,East Texas Chapter Competition ,https://www.mathcounts.org/east-texas-chapter-competition,TX,02/04/2020,Chapter,Tyler,University of Texas - Tyler,,,32.315745,-95.25423099999999
388,El Paso Chapter Competition ,https://www.mathcounts.org/el-paso-chapter-competition,TX,02/08/2020,Chapter,El Paso,TecH2O,10751 Montana Avenue,79935,31.804124,-106.32709
389,Gateway Chapter Competition ,https://www.mathcounts.org/gateway-chapter-competition,TX,02/18/2020,Chapter,Laredo,Texas A&M International University,5201 University Blvd.,78041,27.5714739,-99.4355295
390,Greater Houston Chapter Competition ,https://www.mathcounts.org/greater-houston-chapter-competition,TX,02/08/2020,Chapter,Houston,Fluor Corporation,,,32.9012006,-96.9520467
391,Nueces Chapter Competition ,https://www.mathcounts.org/nueces-chapter-competition,TX,02/01/2020,Chapter,Corpus Christi,Texas A&M - Corpus Christi,300 Ocean Drive,78412,27.7129509,-97.3242095
392,Panhandle Chapter Competition ,https://www.mathcounts.org/panhandle-chapter-competition-0,TX,02/08/2020,Chapter,Amarillo,Amarillo College West Campus,6222 W. 9th Ave.,79101,35.2068369,-101.9072632
393,Permian Basin Chapter Competition ,https://www.mathcounts.org/permian-basin-chapter-competition,TX,02/22/2020,Chapter,Midland,Midland College,,,32.0304457,-102.1061597
394,Piney Woods Chapter Competition ,https://www.mathcounts.org/piney-woods-chapter-competition,TX,02/14/2020,Chapter,Lufkin,Angelina College Science & Mathematics Bldg.,2nd floor,75901,31.2873317,-94.73120139999999
395,Preston Trails/Northeast TX Chapter Competition ,https://www.mathcounts.org/preston-trailsnortheast-tx-chapter-competition,TX,02/15/2020,Chapter,Richardson,University of Texas at Dallas - Naveen Jindal School of Management (JSOM),800 W Campbell Road,75080,32.985088,-96.7468902
396,Rio Grande Valley Chapter Competition ,https://www.mathcounts.org/rio-grande-valley-chapter-competition,TX,02/29/2020,Chapter,Edinburg,UTRGV Edinburg Campus- Math and General Classrooms Building,1201 W. University Dr.,78539,26.3077128,-98.1728674
397,Sabine Chapter Competition ,https://www.mathcounts.org/sabine-chapter-competition,TX,02/21/2020,Chapter,Beaumont,Lamar University - Cherry Engineering Building,4400 MLK Blvd.,77710,30.03990529999999,-94.0755748
398,South Plains ,https://www.mathcounts.org/south-plains,TX,02/22/2019,Chapter,Lubbock,Texas Tech University Civil Engineering Building,,79409,33.5873806,-101.8756532
399,Travis Chapter Competition ,https://www.mathcounts.org/travis-chapter-competition,TX,02/01/2020,Chapter,Austin,University of Texas at Austin,"J.J. Pickle Research Ctr Commons Bldg., 10100 Burnet Rd.",78758,30.3877547,-97.72815159999999
400,Central UT Chapter Competition ,https://www.mathcounts.org/central-ut-chapter-competition,UT,02/01/2020,Chapter,Highland,Mountain Ridge Jr. High,5525 W 10400 N,,40.41994529999999,-111.7907174
401,Eastern UT Chapter Competition ,https://www.mathcounts.org/eastern-ut-chapter-competition,UT,02/22/2020,Chapter,Roosevelt,Utah State University Extension,987 East Lagoon Street,84066,40.29988549999999,-109.9773661
402,North Salt Lake ChapterCompetition ,https://www.mathcounts.org/north-salt-lake-chaptercompetition,UT,02/08/2020,Chapter,Salt Lake City,Salt Lake Community College- Redwood Campus,,,40.6707163,-111.9441385
403,Northern UT Chapter Competition ,https://www.mathcounts.org/northern-ut-chapter-competition,UT,02/08/2020,Chapter,Ogden,"Weber State University, Shepherd Union",3848 Harrison Blvd,84408,41.1924705,-111.944625
404,Salt Lake Non Traditional Chapter ,https://www.mathcounts.org/salt-lake-non-traditional-chapter,UT,02/08/2020,Chapter,Sandy,The Waterford School,1480 East 9400 South,84093,40.5798673,-111.8494056
405,South Central UT Chapter Competition ,https://www.mathcounts.org/south-central-ut-chapter-competition,UT,02/13/2020,Chapter,Cedar City,Southern Utah University - Ballroom in Student Center,351 West University Blvd,84720,37.6764461,-113.0713001
406,South Salt Lake Chapter Competition ,https://www.mathcounts.org/south-salt-lake-chapter-competition,UT,02/08/2020,Chapter,Murray,3M Health Information Systems,575 Murray Blvd,84123,40.6571906,-111.9069859
