id,title,displayTitle,publishedAt,views,likes,dislikes
x-tBCkDNd00,"Rich Brian - Enemies","Rich Brian - Enemies",2018-02-04T22:07:25.000Z,1357066,19818,261
3gU_Cj37OwQ,"Higher Brothers - One Punch Man feat. Ski Mask the Slump God & Denzel Curry (Lyric Video)","Higher Brothers - One Punch Man feat. Ski Mask the Slump God & Denzel Curry",2019-02-22T05:00:01.000Z,1337437,52918,508
xWMRKIkdG2A,"NIKI - Chilly","NIKI - Chilly",2017-12-18T14:59:13.000Z,1319799,26522,196
sdElvDlG1dE,"Rich Brian ft. AUGUST 08 - Arizona 🌵🌵🌵","Rich Brian ft. AUGUST 08 - Arizona 🌵🌵🌵",2018-02-03T10:27:24.000Z,1305637,20244,335
uGt8ecxf3Co,"Bohan Phoenix x Higher Brothers - No Hook (OFFICIAL MUSIC VIDEO)","Bohan Phoenix x Higher Brothers - No Hook",2017-07-04T15:00:07.000Z,1272424,24908,526
QrFagM58ang,"Higher Brothers - 16 Hours (Official Video)","Higher Brothers - 16 Hours",2018-12-11T15:00:42.000Z,1249707,21071,462
1vM6JwWO2A0,"Higher Brothers & Ski Mask the Slump God - Flo Rida","Higher Brothers & Ski Mask the Slump God - Flo Rida",2017-11-16T15:04:02.000Z,1242991,38652,905
nL6aoNg6UHc,"MaSiWei - Refresh (Official Video)","MaSiWei - Refresh",2017-12-25T19:00:01.000Z,1237310,33355,560
WbLxVRhhMeI,"Lexie Liu - Hat Trick (Official Video)","Lexie Liu - Hat Trick",2019-01-24T12:12:18.000Z,1216011,10194,171
5kxDuWzBrKQ,"The Kinjaz x Rich Brian - Who That Be // Freestyle Dance Video","The Kinjaz x Rich Brian - Who That Be",2016-09-06T07:03:59.000Z,1175124,20228,405
wzqUb5iORAE,"Higher Brothers & BlocBoy JB - Let It Go (Official Music Video) (Prod. Falcons)","Higher Brothers & BlocBoy JB - Let It Go  (Prod. Falcons)",2018-07-10T14:00:04.000Z,1138795,34071,599
nrGyQNEtHnI,"Higher Brothers - Trickery (OFFICIAL MUSIC VIDEO)","Higher Brothers - Trickery",2018-02-19T03:33:08.000Z,1091415,25218,1260
0EauGLquTDY,"NIKI - Spell (Official Music Video)","NIKI - Spell",2018-06-13T14:00:13.000Z,1078127,33597,302
C85XMiwA8UE,"Dua Lipa x Rich Brian x Diablo - IDGAF","Dua Lipa x Rich Brian x Diablo - IDGAF",2018-05-09T13:00:02.000Z,1004495,36624,405
LDO-ioPN7HA,"Joji & NIKI - La Cienega ☁ 88rising's Head in the Clouds","Joji & NIKI - La Cienega ☁ 88rising's Head in the Clouds",2018-07-21T15:57:59.000Z,1003242,27490,247
ctKii2-u_T8,"Higher Brothers ft. Jay Park - Franklin (Official Music Video)","Higher Brothers ft. Jay Park - Franklin",2017-06-06T14:55:30.000Z,957731,20436,698
EU6JEf5VEEE,"Higher Brothers - Wudidong (OFFICIAL MUSIC VIDEO)","Higher Brothers - Wudidong",2017-08-08T16:04:45.000Z,955667,19798,482
ad8sZx5Dx08,"Higher Brothers  x J Mag - WORKIN (OFFICIAL MUSIC VIDEO)","Higher Brothers  x J Mag - WORKIN",2017-06-29T08:13:38.000Z,933833,24220,361
N85Y9ZotZws,"Rich Brian - Flight","Rich Brian - Flight",2018-02-06T18:29:15.000Z,829499,12805,142
HrMtxR8ShGE,"Lexie - Like A Mercedes (Official Video)","Lexie - Like A Mercedes",2018-06-19T14:44:57.000Z,797278,19277,374
GjQEWj-gL-E,"Rich Brian - Kitty","Rich Brian - Kitty",2018-02-06T18:24:49.000Z,794192,18572,211
JWF-tqXt7k0,"Higher Brothers - Zombie feat. Rich Brian (prod. Joji)","Higher Brothers - Zombie feat. Rich Brian (prod. Joji)",2019-02-22T05:00:01.000Z,787299,28370,415
BbRIeo-H3UU,"Rich Brian - Trespass","Rich Brian - Trespass",2018-02-09T19:10:25.000Z,774619,11303,116
Dw7mvR3N5wQ,"Uno the Activist ft. Yung Gleesh + Keith Ape - BOTH WAYS (Official Music Video)","Uno the Activist ft. Yung Gleesh + Keith Ape - BOTH WAYS",2016-11-21T02:35:58.000Z,692515,7505,429
T_p3_GSHvtc,"Rich Brian - Occupied","Rich Brian - Occupied",2018-02-08T17:09:20.000Z,688022,11070,113
i5mqA9EoCA8,"Higher Brothers - Gong Xi Fa Cai (Official Audio) [Prod. Richie Souf]","Higher Brothers - Gong Xi Fa Cai  [Prod. Richie Souf]",2019-01-29T15:00:53.000Z,649553,18272,297
h1i3xZRNHkY,"Higher Brothers x HARIKIRI - Nothing Wrong","Higher Brothers x HARIKIRI - Nothing Wrong",2018-02-27T14:53:05.000Z,617842,19111,300
DWlyjGNP2QY,"Rich Brian, Yung Bans, Higher Brothers, Yung Pinch, & Don Krez - Red Rubies","Rich Brian, Yung Bans, Higher Brothers, Yung Pinch, & Don Krez - Red Rubies",2018-07-20T13:00:01.000Z,608617,20491,219
XuPGaBxlz40,"Higher Brothers - Storm (Official Video)","Higher Brothers - Storm",2018-05-15T13:00:03.000Z,606075,18222,427
1d5ksGSjLQI,"joji -  thom (audio)","joji -  thom",2016-12-26T22:52:50.000Z,593463,13351,150
yacNkpm6VWY,"Keith Ape - My Wrist Clearer Than Water! (Official Video)","Keith Ape - My Wrist Clearer Than Water!",2018-12-07T15:00:14.000Z,571190,21392,958
1fUEMeA5cF8,"NIKI - Say My Name","NIKI - Say My Name",2018-05-23T04:00:08.000Z,550002,13283,90
wIPwKRw4GdQ,"Higher Brothers - Aston Martin ft. Ken Rebel (Lyric Video)","Higher Brothers - Aston Martin ft. Ken Rebel",2017-04-06T16:23:38.000Z,543821,7639,149
8pReEUxHxJM,"Channel Tres - Topdown (Official Video)","Channel Tres - Topdown",2018-10-08T14:04:46.000Z,535111,9275,142
_tGiigGPs9E,"Higher Brothers - Chanel (Official Audio)","Higher Brothers - Chanel",2018-01-18T16:02:11.000Z,472221,9460,256
DhrCSb8URFc,"Higher Brothers - Bitch Don’t Kill My Dab (Official Music Video)","Higher Brothers - Bitch Don’t Kill My Dab",2016-08-30T22:58:00.000Z,461557,7416,360
fRq4Zc8H6bg,"Higher Brothers & 03 Greedo - Swimming Pool // 88RISING","Higher Brothers & 03 Greedo - Swimming Pool",2018-07-25T02:59:06.000Z,450283,9514,215
gRyIrZfMEQg,"Higher Brothers - Gong Xi Fa Cai (Official Video)","Higher Brothers - Gong Xi Fa Cai",2019-02-05T14:00:03.000Z,436741,17301,561
_77nZxswUpI,"iLL Chris ft. Ski Mask The Slump God & Robb Banks - Kill Shit (OFFICIAL)","iLL Chris ft. Ski Mask The Slump God & Robb Banks - Kill Shit",2017-06-29T01:46:01.000Z,436692,14288,384
VC8Y63OrN7A,"NESSLY & KILLY - No Mistakes (Official Music Video)","NESSLY & KILLY - No Mistakes",2017-08-09T15:06:00.000Z,427737,10792,366
Bw9iXFXK2Es,"Higher Brothers - Won't Believe feat. ScHoolboy Q","Higher Brothers - Won't Believe feat. ScHoolboy Q",2019-02-22T05:00:01.000Z,418857,12108,138
mIx8uuwkZLE,"Brian Puspos - Murder She Wrote (Music Video)","Brian Puspos - Murder She Wrote",2016-10-26T12:00:57.000Z,416093,7317,84
KYNuXyjgcuA,"Keith Ape ft. Wifisfuneral - Ninja Turtle","Keith Ape ft. Wifisfuneral - Ninja Turtle",2018-09-06T13:47:41.000Z,401331,14926,231
mtj69otq03Q,"Higher Brothers - Do It Like Me feat. J.I.D","Higher Brothers - Do It Like Me feat. J.I.D",2019-02-22T05:00:07.000Z,378912,12940,116
brzaTB57zSc,"Higher Brothers - No More feat. NIKI","Higher Brothers - No More feat. NIKI",2019-02-22T05:00:05.000Z,377162,10480,65
yYpNyVtog10,"Higher Brothers - Top ft. Soulja Boy (Official Music Video)","Higher Brothers - Top ft. Soulja Boy",2019-03-06T15:00:09.000Z,375646,13271,883
tLXggZcU11Q,"Higher Brothers x HARIKIRI - Storm 🌩🌩🌩","Higher Brothers x HARIKIRI - Storm 🌩🌩🌩",2018-03-04T20:31:36.000Z,374903,8913,162
qxwjikO7V3Y,"88RISING - Let It Go ft. Higher Brothers & BlocBoy JB (Prod. by Falcons)","88RISING - Let It Go ft. Higher Brothers & BlocBoy JB (Prod. by Falcons)",2018-06-26T13:36:09.000Z,368795,15230,185
27LXSQdbUpo,"88RISING, NIKI - Warpaint","88RISING, NIKI - Warpaint",2018-06-28T14:32:01.000Z,357528,10165,96
jnL991EvzZw,"Dumbfoundead - Pink Bleu Dawn (Official Video)","Dumbfoundead - Pink Bleu Dawn",2019-01-09T16:14:05.000Z,356884,20859,188
eUeVSLgtDeQ,"Rich Brian ft. Playboi Carti - Beam (Prod. by Murda Beatz & Southside)","Rich Brian ft. Playboi Carti - Beam (Prod. by Murda Beatz & Southside)",2018-08-02T00:20:22.000Z,330820,13422,201
OS2O8EtCsdI,"joji - window (soon)","joji - window",2017-11-15T07:55:42.000Z,326550,22526,124
oeHFGDb912A,"yaeji - raingurl (audio)","yaeji - raingurl",2017-11-07T00:48:56.000Z,322083,11931,234
c01u-8WjBHM,"NIKI - Friends","NIKI - Friends",2018-05-24T13:45:01.000Z,319043,5367,117
qQ1ycC1i5Ww,"Higher Brothers x HARIKIRI - 5:30AM","Higher Brothers x HARIKIRI - 5:30AM",2018-02-28T14:58:24.000Z,317728,9711,143
MJ_sPpiSFvw,"Towkio - G W M ft. Vic Mensa (Official Video)","Towkio - G W M ft. Vic Mensa",2016-11-03T13:57:59.000Z,312954,4112,251
U6Z93rIKdv0,"NIKI - Pools","NIKI - Pools",2018-05-24T13:45:00.000Z,310002,3855,34
s7cQXXMp_Kk,"josh pan & Dumbfoundead - Banned From The Motherland ft. Simon D, Jay Park and G2","josh pan & Dumbfoundead - Banned From The Motherland ft. Simon D, Jay Park and G2",2016-07-27T12:55:55.000Z,308501,6840,85
RPs7qhCXBgU,"Goldlink - Spectrum (Official Music Video)","Goldlink - Spectrum",2016-07-19T16:58:21.000Z,307292,5974,136
